d_theory,vertices,edges,epsilon,time,d_true,recursive_calls,est_matching_size,theory_maximal_matching
2,10,15,0.05,0.0000,3.00,59,4.00,5,2,10,13,0.05,0.0000,2.60,37,3.00,5
2,10,12,0.10,0.0000,2.40,36,4.00,5
2,10,13,0.20,0.0010,2.60,41,4.00,5
2,50,64,0.05,0.0010,2.56,224,20.00,25
2,50,65,0.10,0.0010,2.60,242,21.00,25
2,50,66,0.20,0.0020,2.64,212,21.00,25
2,100,131,0.05,0.0020,2.62,417,42.00,50
2,100,129,0.10,0.0020,2.58,400,43.00,50
2,100,134,0.20,0.0020,2.68,467,41.00,50
2,10,14,0.05,0.0000,2.80,44,4.00,5
2,10,13,0.05,0.0000,2.60,41,4.00,5
2,10,13,0.05,0.0000,2.60,37,4.00,5
2,10,13,0.05,0.0000,2.60,36,4.00,5
2,10,12,0.05,0.0010,2.40,49,4.00,5
2,10,13,0.05,0.0000,2.60,36,4.00,5
2,10,13,0.05,0.0000,2.60,38,4.00,5
2,10,13,0.05,0.0000,2.60,45,4.00,5
2,10,13,0.05,0.0000,2.60,50,5.00,5
2,10,12,0.05,0.0000,2.40,31,5.00,5
2,10,13,0.10,0.0000,2.60,38,4.00,5
2,10,14,0.10,0.0000,2.80,38,4.00,5
2,10,13,0.10,0.0000,2.60,35,5.00,5
2,10,14,0.10,0.0000,2.80,41,4.00,5
2,10,15,0.10,0.0000,3.00,52,4.00,5
2,10,12,0.10,0.0000,2.40,37,4.00,5
2,10,14,0.10,0.0000,2.80,44,5.00,5
2,10,14,0.10,0.0010,2.80,61,4.00,5
2,10,14,0.10,0.0010,2.80,37,3.00,5
2,10,12,0.10,0.0000,2.40,34,4.00,5
2,10,13,0.20,0.0000,2.60,46,4.00,5
2,10,12,0.20,0.0000,2.40,36,4.00,5
2,10,13,0.20,0.0000,2.60,43,4.00,5
2,10,12,0.20,0.0010,2.40,43,3.00,5
2,10,13,0.20,0.0000,2.60,49,4.00,5
2,10,15,0.20,0.0000,3.00,50,5.00,5
2,10,14,0.20,0.0000,2.80,41,4.00,5
2,10,13,0.20,0.0000,2.60,40,4.00,5
2,10,14,0.20,0.0000,2.80,40,4.00,5
2,10,15,0.20,0.0000,3.00,45,4.00,5
2,50,68,0.05,0.0020,2.72,233,21.00,25
2,50,70,0.05,0.0010,2.80,212,21.00,25
2,50,69,0.05,0.0010,2.76,266,22.00,25
2,50,67,0.05,0.0000,2.68,213,20.00,25
2,50,61,0.05,0.0010,2.44,180,22.00,25
2,50,69,0.05,0.0000,2.76,211,20.00,25
2,50,66,0.05,0.0010,2.64,194,20.00,25
2,50,61,0.05,0.0010,2.44,186,19.00,25
2,50,63,0.05,0.0010,2.52,206,22.00,25
2,50,66,0.05,0.0010,2.64,204,21.00,25
2,50,63,0.10,0.0000,2.52,177,22.00,25
2,50,65,0.10,0.0010,2.60,192,20.00,25
2,50,65,0.10,0.0010,2.60,194,19.00,25
2,50,68,0.10,0.0010,2.72,201,22.00,25
2,50,67,0.10,0.0010,2.68,240,22.00,25
2,50,62,0.10,0.0010,2.48,212,22.00,25
2,50,66,0.10,0.0010,2.64,227,21.00,25
2,50,69,0.10,0.0010,2.76,247,20.00,25
2,50,67,0.10,0.0000,2.68,208,22.00,25
2,50,69,0.10,0.0010,2.76,186,21.00,25
2,50,67,0.20,0.0010,2.68,210,21.00,25
2,50,65,0.20,0.0010,2.60,200,21.00,25
2,50,69,0.20,0.0010,2.76,225,22.00,25
2,50,68,0.20,0.0010,2.72,216,21.00,25
2,50,67,0.20,0.0010,2.68,208,21.00,25
2,50,66,0.20,0.0010,2.64,229,19.00,25
2,50,63,0.20,0.0000,2.52,188,21.00,25
2,50,63,0.20,0.0010,2.52,205,22.00,25
2,50,67,0.20,0.0010,2.68,257,20.00,25
2,50,70,0.20,0.0010,2.80,274,21.00,25
2,100,132,0.05,0.0020,2.64,441,45.00,50
2,100,133,0.05,0.0020,2.66,419,42.00,50
2,100,135,0.05,0.0020,2.70,463,44.00,50
2,100,133,0.05,0.0030,2.66,424,41.00,50
2,100,126,0.05,0.0020,2.52,434,43.00,50
2,100,132,0.05,0.0020,2.64,457,41.00,50
2,100,126,0.05,0.0020,2.52,417,41.00,50
2,100,133,0.05,0.0030,2.66,453,44.00,50
2,100,131,0.05,0.0020,2.62,436,41.00,50
2,100,131,0.05,0.0020,2.62,425,41.00,50
2,100,130,0.10,0.0030,2.60,461,40.00,50
2,100,137,0.10,0.0020,2.74,437,41.00,50
2,100,130,0.10,0.0020,2.60,442,44.00,50
