d_theory,vertices,edges,epsilon,time,d_true,recursive_calls,est_matching_size,theory_maximal_matching
2,10,13,0.05,0.0000,2.60,46,4.00,5
2,10,14,0.05,0.0000,2.80,30,5.00,5
2,10,13,0.05,0.0000,2.60,24,5.00,5
2,10,12,0.05,0.0010,2.40,48,4.00,5
2,10,13,0.05,0.0000,2.60,98,5.00,5
2,10,13,0.05,0.0000,2.60,71,2.50,5
2,10,12,0.05,0.0010,2.40,34,4.00,5
2,10,13,0.05,0.0000,2.60,46,3.00,5
2,10,12,0.05,0.0000,2.40,39,3.50,5
2,10,13,0.05,0.0010,2.60,38,4.00,5
2,10,13,0.10,0.0000,2.60,37,4.50,5
2,10,15,0.10,0.0010,3.00,49,3.50,5
2,10,13,0.10,0.0000,2.60,30,3.00,5
2,10,14,0.10,0.0010,2.80,30,4.00,5
2,10,14,0.10,0.0000,2.80,32,4.00,5
2,10,13,0.10,0.0010,2.60,36,4.00,5
2,10,13,0.10,0.0000,2.60,64,5.00,5
2,10,12,0.10,0.0000,2.40,39,4.50,5
2,10,13,0.10,0.0000,2.60,22,5.00,5
2,10,14,0.10,0.0010,2.80,52,3.00,5
2,10,13,0.20,0.0000,2.60,43,3.50,5
2,10,12,0.20,0.0010,2.40,31,3.50,5
2,10,14,0.20,0.0000,2.80,36,4.00,5
2,10,13,0.20,0.0000,2.60,30,4.00,5
2,10,15,0.20,0.0010,3.00,64,4.00,5
2,10,13,0.20,0.0000,2.60,48,5.00,5
2,10,12,0.20,0.0000,2.40,50,5.00,5
2,10,13,0.20,0.0010,2.60,68,5.00,5
2,10,13,0.20,0.0000,2.60,99,4.50,5
2,10,13,0.20,0.0010,2.60,48,5.00,5
2,50,71,0.05,0.0010,2.84,243,20.50,25
2,50,63,0.05,0.0020,2.52,217,20.50,25
2,50,63,0.05,0.0011,2.52,245,21.50,25
2,50,68,0.05,0.0010,2.72,200,22.00,25
2,50,64,0.05,0.0010,2.56,263,22.50,25
2,50,67,0.05,0.0010,2.68,184,22.00,25
2,50,67,0.05,0.0010,2.68,217,23.50,25
2,50,65,0.05,0.0020,2.60,271,21.50,25
2,50,63,0.05,0.0020,2.52,253,21.50,25
2,50,62,0.05,0.0020,2.48,259,21.50,25
2,50,64,0.10,0.0020,2.56,261,20.50,25
2,50,69,0.10,0.0020,2.76,286,21.00,25
2,50,66,0.10,0.0010,2.64,231,21.50,25
2,50,66,0.10,0.0010,2.64,264,19.00,25
2,50,64,0.10,0.0010,2.56,181,20.50,25
2,50,68,0.10,0.0010,2.72,203,20.50,25
2,50,68,0.10,0.0010,2.72,225,22.50,25
2,50,66,0.10,0.0010,2.64,285,21.50,25
2,50,65,0.10,0.0010,2.60,176,19.00,25
2,50,65,0.10,0.0010,2.60,183,21.50,25
2,50,67,0.20,0.0000,2.68,105,17.00,25
2,50,66,0.20,0.0000,2.64,119,21.00,25
2,50,67,0.20,0.0010,2.68,132,22.00,25
2,50,68,0.20,0.0000,2.72,92,22.00,25
2,50,68,0.20,0.0000,2.72,125,21.00,25
2,50,67,0.20,0.0010,2.68,110,22.00,25
2,50,66,0.20,0.0010,2.64,157,21.00,25
2,50,65,0.20,0.0000,2.60,92,20.00,25
2,50,65,0.20,0.0000,2.60,118,20.00,25
2,50,69,0.20,0.0010,2.76,153,23.00,25
2,100,128,0.05,0.0020,2.56,376,45.00,50
2,100,133,0.05,0.0030,2.66,475,41.50,50
2,100,128,0.05,0.0030,2.56,432,41.00,50
2,100,135,0.05,0.0020,2.70,518,41.00,50
2,100,135,0.05,0.0020,2.70,452,41.00,50
2,100,132,0.05,0.0030,2.64,484,35.00,50
2,100,129,0.05,0.0020,2.58,424,42.00,50
2,100,133,0.05,0.0030,2.66,518,43.00,50
2,100,129,0.05,0.0020,2.58,398,44.00,50
2,100,128,0.05,0.0020,2.56,454,42.00,50
2,100,129,0.10,0.0020,2.58,377,38.50,50
2,100,131,0.10,0.0020,2.62,477,37.50,50
2,100,135,0.10,0.0030,2.70,456,44.00,50
2,100,133,0.10,0.0020,2.66,414,45.00,50
2,100,133,0.10,0.0020,2.66,499,42.50,50
2,100,130,0.10,0.0030,2.60,475,47.50,50
2,100,135,0.10,0.0030,2.70,482,47.00,50
2,100,135,0.10,0.0020,2.70,437,41.50,50
2,100,137,0.10,0.0030,2.74,561,39.50,50
2,100,128,0.10,0.0030,2.56,471,46.50,50
2,100,129,0.20,0.0010,2.58,102,40.00,50
