d_theory,vertices,edges,epsilon,time,d_true,recursive_calls,est_matching_size,theory_maximal_matching
2,10,15,0.05,0.0010,3.00,53,3.50,5
2,10,13,0.05,0.0000,2.60,44,5.00,5
2,10,12,0.10,0.0000,2.40,31,3.50,5
2,10,13,0.20,0.0000,2.60,24,5.00,5
2,50,64,0.05,0.0030,2.56,253,20.50,25
2,50,65,0.10,0.0010,2.60,229,19.50,25
2,50,66,0.20,0.0010,2.64,132,11.00,25
2,100,131,0.05,0.0020,2.62,428,45.00,50
2,100,129,0.10,0.0020,2.58,419,44.50,50
2,100,134,0.20,0.0000,2.68,128,11.00,50
2,10,14,0.05,0.0000,2.80,40,4.00,5
2,10,13,0.05,0.0000,2.60,40,4.00,5
2,10,13,0.05,0.0000,2.60,26,5.00,5
2,10,13,0.05,0.0000,2.60,34,4.00,5
2,10,12,0.05,0.0000,2.40,32,4.00,5
2,10,13,0.05,0.0000,2.60,48,4.00,5
2,10,13,0.05,0.0000,2.60,54,3.00,5
2,10,13,0.05,0.0000,2.60,46,4.00,5
2,10,13,0.05,0.0000,2.60,22,5.00,5
2,10,12,0.05,0.0000,2.40,39,3.50,5
2,10,13,0.10,0.0000,2.60,27,4.50,5
2,10,14,0.10,0.0000,2.80,42,4.00,5
2,10,13,0.10,0.0000,2.60,38,5.00,5
2,10,14,0.10,0.0000,2.80,35,3.50,5
2,10,15,0.10,0.0000,3.00,67,3.50,5
2,10,12,0.10,0.0000,2.40,35,4.50,5
2,10,14,0.10,0.0010,2.80,190,5.00,5
2,10,14,0.10,0.0010,2.80,64,3.00,5
2,10,14,0.10,0.0010,2.80,37,4.50,5
2,10,12,0.10,0.0000,2.40,44,4.00,5
2,10,13,0.20,0.0000,2.60,60,4.00,5
2,10,12,0.20,0.0000,2.40,35,2.50,5
2,10,13,0.20,0.0010,2.60,55,2.50,5
2,10,12,0.20,0.0000,2.40,34,4.00,5
2,10,13,0.20,0.0000,2.60,58,4.00,5
2,10,15,0.20,0.0000,3.00,72,4.00,5
2,10,14,0.20,0.0000,2.80,28,5.00,5
2,10,13,0.20,0.0000,2.60,40,3.00,5
2,10,14,0.20,0.0000,2.80,100,5.00,5
2,10,15,0.20,0.0000,3.00,92,4.00,5
2,50,68,0.05,0.0010,2.72,189,24.50,25
2,50,70,0.05,0.0020,2.80,251,21.50,25
2,50,69,0.05,0.0020,2.76,260,22.00,25
2,50,67,0.05,0.0010,2.68,237,22.50,25
2,50,61,0.05,0.0010,2.44,188,24.00,25
2,50,69,0.05,0.0010,2.76,195,22.50,25
2,50,66,0.05,0.0010,2.64,176,21.00,25
2,50,61,0.05,0.0010,2.44,228,22.00,25
2,50,63,0.05,0.0010,2.52,199,19.50,25
2,50,66,0.05,0.0020,2.64,230,20.00,25
2,50,63,0.10,0.0010,2.52,205,19.50,25
2,50,65,0.10,0.0010,2.60,238,19.00,25
2,50,65,0.10,0.0010,2.60,177,20.50,25
2,50,68,0.10,0.0010,2.72,204,21.00,25
2,50,67,0.10,0.0020,2.68,296,17.00,25
2,50,62,0.10,0.0010,2.48,200,20.00,25
2,50,66,0.10,0.0010,2.64,203,18.50,25
2,50,69,0.10,0.0020,2.76,224,20.00,25
2,50,67,0.10,0.0010,2.68,242,22.00,25
2,50,69,0.10,0.0020,2.76,307,20.50,25
2,50,67,0.20,0.0000,2.68,86,10.00,25
2,50,65,0.20,0.0010,2.60,104,11.00,25
2,50,69,0.20,0.0010,2.76,165,11.50,25
