d_theory,vertices,edges,epsilon,time,d_true,recursive_calls,est_matching_size,theory_maximal_matching
2,10,15,0.05,0.0000,3.00,0,4.00,5
2,10,13,0.05,0.0000,2.60,0,4.00,5
2,10,12,0.10,0.0000,2.40,0,4.00,5
2,10,13,0.20,0.0000,2.60,0,4.00,5
2,50,64,0.05,0.0000,2.56,0,22.00,25
2,50,65,0.10,0.0000,2.60,0,21.00,25
2,50,66,0.20,0.0010,2.64,0,19.00,25
2,100,131,0.05,0.0000,2.62,0,43.00,50
2,100,129,0.10,0.0000,2.58,0,39.00,50
2,100,134,0.20,0.0000,2.68,0,41.00,50
2,10,14,0.05,0.0000,2.80,0,4.00,5
2,10,13,0.05,0.0000,2.60,0,4.00,5
2,10,13,0.05,0.0000,2.60,0,4.00,5
2,10,13,0.05,0.0000,2.60,0,3.00,5
2,10,12,0.05,0.0000,2.40,0,5.00,5
2,10,13,0.05,0.0000,2.60,0,5.00,5
2,10,13,0.05,0.0000,2.60,0,4.00,5
2,10,13,0.05,0.0000,2.60,0,4.00,5
2,10,13,0.05,0.0000,2.60,0,4.00,5
2,10,12,0.05,0.0000,2.40,0,3.00,5
2,10,13,0.10,0.0000,2.60,0,4.00,5
2,10,14,0.10,0.0000,2.80,0,4.00,5
2,10,13,0.10,0.0000,2.60,0,5.00,5
2,10,14,0.10,0.0000,2.80,0,4.00,5
2,10,15,0.10,0.0000,3.00,0,4.00,5
2,10,12,0.10,0.0000,2.40,0,3.00,5
2,10,14,0.10,0.0000,2.80,0,5.00,5
2,10,14,0.10,0.0000,2.80,0,4.00,5
2,10,14,0.10,0.0000,2.80,0,4.00,5
2,10,12,0.10,0.0000,2.40,0,4.00,5
2,10,13,0.20,0.0000,2.60,0,4.00,5
2,10,12,0.20,0.0000,2.40,0,4.00,5
2,10,13,0.20,0.0000,2.60,0,5.00,5
2,10,12,0.20,0.0000,2.40,0,4.00,5
2,10,13,0.20,0.0000,2.60,0,4.00,5
2,10,15,0.20,0.0000,3.00,0,5.00,5
2,10,14,0.20,0.0000,2.80,0,5.00,5
2,10,13,0.20,0.0000,2.60,0,4.00,5
2,10,14,0.20,0.0000,2.80,0,3.00,5
2,10,15,0.20,0.0000,3.00,0,4.00,5
2,50,68,0.05,0.0000,2.72,0,19.00,25
2,50,70,0.05,0.0010,2.80,0,21.00,25
2,50,69,0.05,0.0000,2.76,0,18.00,25
2,50,67,0.05,0.0000,2.68,0,21.00,25
2,50,61,0.05,0.0000,2.44,0,21.00,25
2,50,69,0.05,0.0000,2.76,0,23.00,25
2,50,66,0.05,0.0010,2.64,0,21.00,25
2,50,61,0.05,0.0000,2.44,0,22.00,25
2,50,63,0.05,0.0010,2.52,0,22.00,25
2,50,66,0.05,0.0010,2.64,0,23.00,25
2,50,63,0.10,0.0000,2.52,0,21.00,25
2,50,65,0.10,0.0000,2.60,0,23.00,25
2,50,65,0.10,0.0000,2.60,0,22.00,25
2,50,68,0.10,0.0000,2.72,0,21.00,25
2,50,67,0.10,0.0000,2.68,0,21.00,25
2,50,62,0.10,0.0000,2.48,0,20.00,25
2,50,66,0.10,0.0000,2.64,0,19.00,25
2,50,69,0.10,0.0000,2.76,0,22.00,25
2,50,67,0.10,0.0000,2.68,0,19.00,25
2,50,69,0.10,0.0000,2.76,0,22.00,25
2,50,67,0.20,0.0000,2.68,0,22.00,25
2,50,65,0.20,0.0000,2.60,0,21.00,25
2,50,69,0.20,0.0000,2.76,0,22.00,25
2,50,68,0.20,0.0000,2.72,0,20.00,25
2,50,67,0.20,0.0000,2.68,0,21.00,25
2,50,66,0.20,0.0000,2.64,0,21.00,25
2,50,63,0.20,0.0010,2.52,0,20.00,25
2,50,63,0.20,0.0000,2.52,0,21.00,25
2,50,67,0.20,0.0000,2.68,0,22.00,25
2,50,70,0.20,0.0000,2.80,0,21.00,25
2,100,132,0.05,0.0000,2.64,0,44.00,50
2,100,133,0.05,0.0000,2.66,0,40.00,50
2,100,135,0.05,0.0000,2.70,0,44.00,50
2,100,133,0.05,0.0000,2.66,0,42.00,50
2,100,126,0.05,0.0010,2.52,0,42.00,50
2,100,132,0.05,0.0010,2.64,0,44.00,50
2,100,126,0.05,0.0000,2.52,0,43.00,50
2,100,133,0.05,0.0000,2.66,0,43.00,50
2,100,131,0.05,0.0000,2.62,0,42.00,50
2,100,131,0.05,0.0010,2.62,0,40.00,50
2,100,130,0.10,0.0000,2.60,0,41.00,50
2,100,137,0.10,0.0010,2.74,0,44.00,50
2,100,130,0.10,0.0000,2.60,0,42.00,50
2,100,129,0.10,0.0010,2.58,0,41.00,50
2,100,127,0.10,0.0000,2.54,0,44.00,50
2,100,130,0.10,0.0000,2.60,0,41.00,50
2,100,132,0.10,0.0010,2.64,0,43.00,50
2,100,129,0.10,0.0000,2.58,0,43.00,50
2,100,136,0.10,0.0000,2.72,0,42.00,50
2,100,134,0.10,0.0000,2.68,0,44.00,50
2,100,127,0.20,0.0010,2.54,0,42.00,50
2,100,131,0.20,0.0000,2.62,0,43.00,50
2,100,140,0.20,0.0010,2.80,0,42.00,50
2,100,127,0.20,0.0010,2.54,0,40.00,50
2,100,131,0.20,0.0000,2.62,0,41.00,50
2,100,134,0.20,0.0000,2.68,0,41.00,50
2,100,137,0.20,0.0010,2.74,0,42.00,50
2,100,126,0.20,0.0000,2.52,0,41.00,50
2,100,130,0.20,0.0000,2.60,0,41.00,50
2,100,129,0.20,0.0000,2.58,0,45.00,50
2,10,12,0.05,0.0000,2.40,0,3.00,5
2,10,14,0.05,0.0000,2.80,0,5.00,5
2,10,12,0.05,0.0000,2.40,0,5.00,5
2,10,12,0.05,0.0000,2.40,0,4.00,5
2,10,12,0.05,0.0000,2.40,0,4.00,5
2,10,12,0.05,0.0000,2.40,0,4.00,5
2,10,13,0.05,0.0000,2.60,0,4.00,5
2,10,14,0.05,0.0000,2.80,0,4.00,5
2,10,12,0.05,0.0000,2.40,0,3.00,5
2,10,12,0.05,0.0000,2.40,0,5.00,5
2,10,14,0.10,0.0000,2.80,0,4.00,5
2,10,13,0.10,0.0000,2.60,0,4.00,5
2,10,14,0.10,0.0000,2.80,0,5.00,5
2,10,12,0.10,0.0000,2.40,0,5.00,5
2,10,13,0.10,0.0000,2.60,0,4.00,5
2,10,14,0.10,0.0000,2.80,0,4.00,5
2,10,12,0.10,0.0000,2.40,0,5.00,5
2,10,14,0.10,0.0000,2.80,0,4.00,5
2,10,13,0.10,0.0000,2.60,0,4.00,5
2,10,13,0.10,0.0000,2.60,0,4.00,5
2,10,14,0.20,0.0000,2.80,0,4.00,5
2,10,12,0.20,0.0000,2.40,0,5.00,5
2,10,12,0.20,0.0000,2.40,0,4.00,5
2,10,12,0.20,0.0000,2.40,0,4.00,5
2,10,15,0.20,0.0000,3.00,0,5.00,5
2,10,12,0.20,0.0010,2.40,0,5.00,5
2,10,13,0.20,0.0000,2.60,0,4.00,5
2,10,14,0.20,0.0000,2.80,0,5.00,5
2,10,15,0.20,0.0000,3.00,0,4.00,5
2,10,13,0.20,0.0000,2.60,0,4.00,5
2,50,65,0.05,0.0000,2.60,0,22.00,25
2,50,66,0.05,0.0000,2.64,0,20.00,25
2,50,68,0.05,0.0000,2.72,0,21.00,25
2,50,66,0.05,0.0000,2.64,0,21.00,25
2,50,68,0.05,0.0000,2.72,0,21.00,25
2,50,68,0.05,0.0000,2.72,0,21.00,25
2,50,64,0.05,0.0000,2.56,0,21.00,25
2,50,67,0.05,0.0000,2.68,0,23.00,25
2,50,66,0.05,0.0000,2.64,0,23.00,25
2,50,69,0.05,0.0000,2.76,0,20.00,25
2,50,64,0.10,0.0000,2.56,0,19.00,25
2,50,66,0.10,0.0000,2.64,0,20.00,25
