,vertices,edges,est_matching_size,theory_maximal_matching
0,10,31,5.0,5
1,10,31,3.0,5
2,10,32,5.0,5
3,10,28,4.5,5
4,10,30,4.5,5
5,10,31,5.0,5
6,10,33,4.0,5
7,10,30,5.0,5
8,10,33,4.0,5
9,10,32,4.5,5
10,50,158,23.5,25
11,50,156,24.5,25
12,50,147,22.5,25
13,50,158,23.0,25
14,50,152,20.0,25
15,50,148,23.0,25
16,50,156,23.0,25
17,50,156,18.5,25
18,50,154,22.5,25
19,50,158,22.0,25
20,100,308,46.5,50
21,100,311,47.0,50
22,100,302,48.5,50
23,100,298,44.0,50
24,100,302,43.5,50
25,100,305,44.0,50
26,100,297,47.0,50
27,100,310,43.0,50
28,100,298,45.5,50
29,100,306,45.5,50
30,500,1503,229.0,250
31,500,1485,228.5,250
32,500,1493,231.5,250
33,500,1495,227.5,250
34,500,1512,229.5,250
35,500,1505,225.5,250
36,500,1523,223.0,250
37,500,1491,227.5,250
38,500,1514,219.5,250
39,500,1505,231.5,250
40,1000,3006,461.0,500
41,1000,2986,450.0,500
42,1000,2963,454.0,500
43,1000,3039,462.0,500
44,1000,3002,462.0,500
45,1000,2996,444.0,500
46,1000,2992,460.0,500
47,1000,3006,451.5,500
48,1000,3002,450.0,500
49,1000,3000,451.5,500
