d_theory,vertices,edges,epsilon,time,d_true,recursive_calls,est_matching_size,theory_maximal_matching
2,10,15,0.05,0.0150,3.00,2688,6.15,5
2,10,13,0.05,0.0150,2.60,2942,6.62,5
2,10,12,0.10,0.0040,2.40,703,6.35,5
2,10,13,0.20,0.0010,2.60,170,5.00,5
2,50,64,0.05,0.0261,2.56,3245,34.31,25
2,50,65,0.10,0.0050,2.60,850,27.50,25
2,50,66,0.20,0.0030,2.64,197,34.00,25
2,100,131,0.05,0.0250,2.62,3843,56.88,50
2,100,129,0.10,0.0060,2.58,1049,55.50,50
2,100,134,0.20,0.0020,2.68,240,62.00,50
2,10,14,0.05,0.0240,2.80,4701,5.01,5
2,10,13,0.05,0.0190,2.60,3700,7.35,5
2,10,13,0.05,0.0140,2.60,2656,6.55,5
2,10,13,0.05,0.0170,2.60,3255,7.01,5
2,10,12,0.05,0.0130,2.40,2625,6.94,5
2,10,13,0.05,0.0180,2.60,3379,8.01,5
2,10,13,0.05,0.0160,2.60,2951,2.86,5
2,10,13,0.05,0.0210,2.60,4196,7.08,5
2,10,13,0.05,0.0190,2.60,3837,8.54,5
2,10,12,0.05,0.0180,2.40,3670,5.70,5
2,10,13,0.10,0.0080,2.60,1626,7.10,5
2,10,14,0.10,0.0050,2.80,779,6.75,5
2,10,13,0.10,0.0040,2.60,773,4.65,5
2,10,14,0.10,0.0060,2.80,1034,4.40,5
2,10,15,0.10,0.0060,3.00,1121,4.95,5
2,10,12,0.10,0.0050,2.40,1070,4.30,5
2,10,14,0.10,0.0080,2.80,1590,6.00,5
2,10,14,0.10,0.0060,2.80,1319,5.95,5
2,10,14,0.10,0.0030,2.80,672,5.90,5
2,10,12,0.10,0.0070,2.40,1467,4.85,5
2,10,13,0.20,0.0030,2.60,425,5.20,5
2,10,12,0.20,0.0010,2.40,248,4.20,5
2,10,13,0.20,0.0010,2.60,179,3.20,5
2,10,12,0.20,0.0010,2.40,221,6.80,5
2,10,13,0.20,0.0010,2.60,169,5.20,5
2,10,15,0.20,0.0020,3.00,197,7.60,5
2,10,14,0.20,0.0020,2.80,352,6.60,5
2,10,13,0.20,0.0020,2.60,274,6.20,5
2,10,14,0.20,0.0020,2.80,244,5.00,5
2,10,15,0.20,0.0010,3.00,207,2.80,5
2,50,68,0.05,0.0230,2.72,2947,27.44,25
2,50,70,0.05,0.0210,2.80,3814,36.75,25
2,50,69,0.05,0.0180,2.76,3279,29.19,25
2,50,67,0.05,0.0170,2.68,3147,25.81,25
2,50,61,0.05,0.0220,2.44,4216,35.50,25
2,50,69,0.05,0.0171,2.76,3178,30.50,25
2,50,66,0.05,0.0160,2.64,3149,31.44,25
2,50,61,0.05,0.0200,2.44,3870,35.38,25
2,50,63,0.05,0.0220,2.52,4576,29.25,25
2,50,66,0.05,0.0200,2.64,3366,33.75,25
2,50,63,0.10,0.0060,2.52,960,36.00,25
2,50,65,0.10,0.0050,2.60,843,37.25,25
2,50,65,0.10,0.0060,2.60,1139,30.25,25
2,50,68,0.10,0.0050,2.72,871,28.25,25
2,50,67,0.10,0.0050,2.68,996,31.00,25
2,50,62,0.10,0.0050,2.48,859,32.75,25
2,50,66,0.10,0.0050,2.64,919,28.75,25
2,50,69,0.10,0.0040,2.76,789,27.25,25
2,50,67,0.10,0.0060,2.68,979,31.25,25
2,50,69,0.10,0.0050,2.76,975,32.75,25
2,50,67,0.20,0.0010,2.68,227,38.00,25
2,50,65,0.20,0.0010,2.60,285,42.00,25
2,50,69,0.20,0.0010,2.76,221,28.00,25
2,50,68,0.20,0.0010,2.72,200,33.00,25
2,50,67,0.20,0.0010,2.68,268,31.00,25
2,50,66,0.20,0.0020,2.64,219,34.00,25
2,50,63,0.20,0.0020,2.52,227,28.00,25
2,50,63,0.20,0.0010,2.52,201,32.00,25
2,50,67,0.20,0.0020,2.68,307,16.00,25
2,50,70,0.20,0.0010,2.80,228,27.00,25
2,100,132,0.05,0.0180,2.64,3440,65.25,50
2,100,133,0.05,0.0201,2.66,3738,64.75,50
2,100,135,0.05,0.0210,2.70,3767,61.62,50
2,100,133,0.05,0.0170,2.66,3295,64.88,50
2,100,126,0.05,0.0200,2.52,3917,71.38,50
2,100,132,0.05,0.0211,2.64,4060,59.25,50
2,100,126,0.05,0.0190,2.52,3687,67.38,50
2,100,133,0.05,0.0170,2.66,3298,70.75,50
2,100,131,0.05,0.0210,2.62,4108,63.50,50
2,100,131,0.05,0.0190,2.62,3618,62.50,50
2,100,130,0.10,0.0040,2.60,882,56.00,50
2,100,137,0.10,0.0050,2.74,918,62.00,50
2,100,130,0.10,0.0050,2.60,935,62.50,50
2,100,129,0.10,0.0050,2.58,868,67.00,50
2,100,127,0.10,0.0050,2.54,861,59.50,50
2,100,130,0.10,0.0060,2.60,1029,60.50,50
2,100,132,0.10,0.0060,2.64,1042,63.00,50
2,100,129,0.10,0.0050,2.58,932,63.00,50
2,100,136,0.10,0.0040,2.72,788,73.00,50
2,100,134,0.10,0.0040,2.68,851,63.50,50
2,100,127,0.20,0.0020,2.54,279,64.00,50
2,100,131,0.20,0.0020,2.62,232,62.00,50
2,100,140,0.20,0.0020,2.80,216,50.00,50
2,100,127,0.20,0.0010,2.54,224,50.00,50
2,100,131,0.20,0.0020,2.62,235,56.00,50
2,100,134,0.20,0.0020,2.68,245,56.00,50
2,100,137,0.20,0.0020,2.74,285,52.00,50
2,100,126,0.20,0.0020,2.52,250,46.00,50
2,100,130,0.20,0.0020,2.60,235,56.00,50
2,100,129,0.20,0.0020,2.58,241,68.00,50
2,10,12,0.05,0.0160,2.40,2962,2.73,5
2,10,14,0.05,0.0230,2.80,4476,5.67,5
2,10,12,0.05,0.0130,2.40,2579,7.51,5
2,10,12,0.05,0.0230,2.40,4730,7.38,5
2,10,12,0.05,0.0180,2.40,3569,5.49,5
2,10,12,0.05,0.0140,2.40,2816,8.60,5
2,10,13,0.05,0.0150,2.60,2890,7.70,5
2,10,14,0.05,0.0200,2.80,3856,9.70,5
2,10,12,0.05,0.0140,2.40,2702,5.97,5
2,10,12,0.05,0.0170,2.40,3305,6.89,5
2,10,14,0.10,0.0050,2.80,858,5.40,5
2,10,13,0.10,0.0050,2.60,1135,6.95,5
2,10,14,0.10,0.0060,2.80,1150,6.40,5
2,10,12,0.10,0.0060,2.40,1099,7.35,5
2,10,13,0.10,0.0050,2.60,1056,6.40,5
2,10,14,0.10,0.0050,2.80,956,9.20,5
2,10,12,0.10,0.0040,2.40,716,3.70,5
2,10,14,0.10,0.0050,2.80,809,5.35,5
2,10,13,0.10,0.0050,2.60,922,5.80,5
2,10,13,0.10,0.0040,2.60,757,6.05,5
2,10,14,0.20,0.0010,2.80,192,6.60,5
2,10,12,0.20,0.0010,2.40,183,5.60,5
2,10,12,0.20,0.0010,2.40,169,5.20,5
2,10,12,0.20,0.0010,2.40,189,4.00,5
2,10,15,0.20,0.0010,3.00,210,4.20,5
2,10,12,0.20,0.0010,2.40,185,8.00,5
2,10,13,0.20,0.0010,2.60,221,4.80,5
2,10,14,0.20,0.0020,2.80,191,9.20,5
2,10,15,0.20,0.0010,3.00,206,5.00,5
2,10,13,0.20,0.0020,2.60,307,7.20,5
2,50,65,0.05,0.0190,2.60,3568,31.25,25
2,50,66,0.05,0.0190,2.64,3845,31.06,25
2,50,68,0.05,0.0190,2.72,3722,32.88,25
2,50,66,0.05,0.0200,2.64,3697,34.19,25
2,50,68,0.05,0.0171,2.72,3188,30.75,25
2,50,68,0.05,0.0221,2.72,4138,31.12,25
2,50,64,0.05,0.0170,2.56,3334,31.62,25
2,50,67,0.05,0.0190,2.68,3518,35.62,25
2,50,66,0.05,0.0190,2.64,3626,38.00,25
2,50,69,0.05,0.0200,2.76,3870,30.75,25
2,50,64,0.10,0.0050,2.56,1007,29.25,25
2,50,66,0.10,0.0060,2.64,1149,26.75,25
2,50,68,0.10,0.0060,2.72,1081,30.25,25
2,50,64,0.10,0.0060,2.56,1001,26.75,25
